count_change,bank,round_bank,round,win_probability,dro,position,answer,choose
-1,2,0,0,0.0306,2,1,0,0
2,2,0,0,0.0071,1,2,1,0
3,2,0,1,0.3702,3,1,0,0
1,5,0,1,0.9883,4,2,1,1
0,10,5,1,0.3622,3,1,1,1
1,12,0,2,0.3658,3,1,0,0
1,12,0,2,0.9858,4,2,1,0
-1,2,0,0,0.3378,2,1,0,0
2,5,0,0,0.7458,3,2,1,1
1,2,5,0,0.3388,2,1,1,0
-1,2,0,0,0.0539,2,1,0,0
2,2,0,0,0.3083,2,2,1,0
2,5,0,1,0.5722,3,1,0,1
1,10,5,1,0.9314,3,2,1,1
1,5,0,2,0.5626,3,1,0,1
1,12,5,2,0.9284,3,2,1,0
-1,5,0,0,0.8078,3,1,0,1
1,10,5,0,0.4807,3,2,1,1
1,5,0,1,0.9084,3,1,0,1
1,12,5,1,0.5468,3,2,1,0
-1,2,0,0,0.5086,3,1,0,0
1,5,0,0,0.9272,3,2,1,1
1,2,5,0,0.5037,3,1,1,0
